Date, APL.1, APL.2, APL.3, APL.4, APL.5, APL.6, APL.7, APL.8, APL.9, APL.10, APL.11, APL.12
2024-11-01 22:47:36,992.59,24.48,24.48,24.48,5.4,1.1,1.0,13.373241,4.84e-1,1.137,0.0,10.68
2024-11-01 22:47:42,992.54,24.48,24.48,24.48,22.6,5.7,1.0,13.373241,5.245,20.399,0.0,10.64
2024-11-01 22:47:48,992.5,24.48,24.48,24.48,33.8,8.6,1.0,13.373241,8.385,32.34,0.0,10.64
2024-11-01 22:47:54,992.48,24.48,24.48,24.48,41.1,10.4,1.0,13.373241,10.505,40.147,0.0,10.63
2024-11-01 22:48:00,992.5,24.48,24.48,24.48,45.9,11.6,1.0,13.373241,11.806,45.282,0.0,10.63
2024-11-01 22:48:06,992.51,24.48,24.48,24.48,49.1,12.5,1.0,13.373241,12.619,48.646,0.0,10.63
2024-11-01 22:48:12,992.48,24.48,24.48,24.48,51.1,13.0,1.0,13.373241,13.224,50.889,0.0,10.63
2024-11-01 22:48:18,981.91,24.48,24.48,24.48,52.5,13.3,1.0,13.373241,13.595,52.393,0.0,9.94
2024-11-01 22:48:24,969.57,22.19,24.48,24.48,53.2,13.7,1.0,13.2416,13.821,53.338,0.0,9.94
2024-11-01 22:48:30,957.58,22.33,24.48,24.48,53.9,13.8,1.0,13.253036,13.978,53.991,0.0,7.41
2024-11-01 22:48:36,946.21,22.13,24.48,24.48,54.5,13.9,1.0,13.239261,14.093,54.378,0.0,7.41
2024-11-01 22:48:42,935.25,22.2,24.48,24.48,54.7,13.9,1.0,13.2443,14.162,54.663,0.0,6.82
2024-11-01 22:48:48,924.63,22.16,24.48,24.48,54.8,13.9,1.0,13.240755,14.204,54.81,0.0,6.82
2024-11-01 22:48:54,914.53,22.22,24.48,24.48,54.7,13.9,1.0,13.244193,14.203,54.823,0.0,6.44
2024-11-01 22:49:00,904.81,22.25,24.48,24.48,54.7,13.8,1.0,13.244507,14.206,54.835,0.0,6.44
2024-11-01 22:49:06,895.39,22.21,24.48,24.48,54.6,14.1,1.0,13.243118,14.208,54.835,0.0,6.44
2024-11-01 22:49:12,886.2,22.36,24.48,24.48,54.8,14.0,1.0,13.2519,14.201,54.846,0.0,6.11
2024-11-01 22:49:18,877.34,22.22,24.48,24.48,54.8,14.0,1.0,13.243408,14.206,54.829,0.0,6.11
2024-11-01 22:49:24,868.61,22.14,24.48,24.48,54.7,13.9,1.0,13.238922,14.204,54.805,0.0,5.81
2024-11-01 22:49:30,860.12,22.24,24.48,24.48,54.9,13.9,1.0,13.244862,14.202,54.822,0.0,5.81
2024-11-01 22:49:36,851.82,22.13,24.48,24.48,54.7,14.0,1.0,13.2386,14.205,54.805,0.0,5.53
2024-11-01 22:49:42,843.64,22.2,24.48,24.48,54.6,14.0,1.0,13.241614,14.203,54.811,0.0,5.53
2024-11-01 22:49:48,835.61,22.2,24.48,24.48,54.7,13.9,1.0,13.242298,14.205,54.824,0.0,5.24
2024-11-01 22:49:54,827.67,22.3,24.48,24.48,54.7,14.1,1.0,13.248412,14.202,54.836,0.0,5.24
2024-11-01 22:50:00,819.89,22.37,24.48,24.48,54.6,14.0,1.0,13.251998,14.198,54.835,0.0,4.98
2024-11-01 22:50:06,812.26,22.29,24.48,24.48,54.8,13.9,1.0,13.246978,14.206,54.841,0.0,4.98
2024-11-01 22:50:12,804.65,22.17,24.48,24.48,54.7,13.9,1.0,13.24026,14.204,54.809,0.0,4.69
2024-11-01 22:50:18,797.19,22.15,24.48,24.48,54.7,14.0,1.0,13.239004,14.208,54.821,0.0,4.69
2024-11-01 22:50:24,789.78,22.23,24.48,24.48,54.8,13.9,1.0,13.245642,14.198,54.808,0.0,4.42
2024-11-01 22:50:30,782.49,22.28,24.48,24.48,54.9,14.0,1.0,13.246479,14.204,54.836,0.0,4.42
2024-11-01 22:50:36,775.27,22.21,24.48,24.48,54.7,13.9,1.0,13.242213,14.21,54.841,0.0,4.16
2024-11-01 22:50:42,768.16,22.34,24.48,24.48,54.7,13.9,1.0,13.248233,14.213,54.879,0.0,4.16
2024-11-01 22:50:48,761.12,22.31,24.48,24.48,54.8,14.0,1.0,13.248728,14.21,54.866,0.0,4.16
2024-11-01 22:50:54,754.16,22.28,24.48,24.48,54.7,14.0,1.0,13.246665,14.211,54.863,0.0,3.89
2024-11-01 22:51:00,747.26,22.33,24.48,24.48,54.8,13.9,1.0,13.249613,14.208,54.864,0.0,3.89
2024-11-01 22:51:06,740.38,22.31,24.48,24.48,54.7,14.1,1.0,13.247806,14.209,54.861,0.0,3.61
2024-11-01 22:51:12,733.62,22.28,24.48,24.48,54.8,14.0,1.0,13.246286,14.208,54.851,0.0,3.61
2024-11-01 22:51:18,726.92,22.32,24.48,24.48,54.8,14.0,1.0,13.248923,14.211,54.874,0.0,3.34
2024-11-01 22:51:24,720.27,22.21,24.48,24.48,54.7,14.0,1.0,13.242248,14.208,54.834,0.0,3.34
2024-11-01 22:51:30,713.71,22.35,24.48,24.48,54.7,13.9,1.0,13.249487,14.21,54.872,0.0,3.09
2024-11-01 22:51:36,707.21,22.34,24.48,24.48,54.7,14.0,1.0,13.249903,14.207,54.86,0.0,3.09
2024-11-01 22:51:42,700.76,22.35,24.48,24.48,54.7,14.0,1.0,13.25085,14.202,54.846,0.0,2.82
2024-11-01 22:51:48,694.44,22.28,24.48,24.48,54.7,14.0,1.0,13.246119,14.205,54.838,0.0,2.82
2024-11-01 22:51:54,688.1,22.34,24.48,24.48,54.7,13.9,1.0,13.249771,14.198,54.837,0.0,2.55
2024-11-01 22:52:00,681.82,22.37,24.48,24.48,54.9,13.9,1.0,13.251925,14.206,54.866,0.0,2.55
2024-11-01 22:52:06,675.6,22.49,24.48,24.48,54.9,14.0,1.0,13.258305,14.202,54.875,0.0,2.27
2024-11-01 22:52:12,669.47,22.25,24.48,24.48,54.6,13.9,1.0,13.245028,14.206,54.838,0.0,2.27
